interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,9/6/2023,16:15,Female,21,Senior,Rest of United States,5,Female,22,Other,Rest of United States,Close friend,Once a week,Female,22,Other,Bay Area,Close friend,Once a month,Male,21,Senior,Rest of United States,Close friend,Once a week,Female,22,Senior,LA Area,Close friend,Once a week,Female,21,Senior,Bay Area,Close friend,Once a week
2,9/6/2023,18:00,Female,20,Junior,Bay Area,5,Female,19,Junior,Rest of United States,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,Rest of United States,Close friend,Once a week,Female,19,Junior,Rest of United States,Close friend,Once a week,Female,21,Other,Rest of United States,Close friend,Once a week
3,9/7/2023,16:00,Male,21,Senior,Rest of World,5,Female,55,Other,Rest of World,Close friend,Once a week,Male,55,Other,Rest of World,Close friend,Once a week,Male,21,Senior,Rest of United States,Close friend,More than once a week,Male,21,Senior,Rest of United States,Close friend,More than once a week,Male,20,Junior,Rest of World,Close friend,More than once a week
1,8/31/2023,14:26,Female,21,Senior,Bay Area,5,Male,22,Senior,LA Area,Close friend,More than once a week,Female,26,Other,Bay Area,Close friend,Once a week,Female,55,Other,Bay Area,Close friend,Once a month,Male,61,Other,Bay Area,Close friend,Once a week,Female,22,Other,Bay Area,Close friend,Once a month
2,9/6/2023,10:37,Female,19,Sophomore,Bay Area,6+,Female,19,Sophomore,Bay Area,Close friend,Once a week,Female,19,Sophomore,Bay Area,Close friend,Once a week,Male,17,Other,Bay Area,Close friend,Once a month,Male,56,Other,Bay Area,Close friend,Once a month,Male,19,Sophomore,Rest of California,Friend,Once a month
3,9/7/2023,5:09,Female,21,Junior,Rest of World,3,Male,56,Other,Rest of World,Close friend,Once a week,Female,51,Other,Rest of World,Close friend,Once a week,Female,19,Sophomore,LA Area,Friend,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9/6/2023,17:27,Female,21,Senior,LA Area,6+,Female,19,Sophomore,LA Area,Close friend,More than once a week,Female,20,Senior,LA Area,Friend,Once a week,Male,21,Senior,Rest of California,Close friend,More than once a week,Other,21,Senior,LA Area,Close friend,More than once a week,Other,21,Senior,Rest of California,Close friend,More than once a week
2,9/7/2023,13:15,Female,20,Senior,LA Area,6+,Male,20,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,22,Other,LA Area,Close friend,More than once a week
3,9/7/2023,14:00,Male,21,Senior,Rest of California,6+,Male,20,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,Once a week,Female,20,Senior,Rest of California,Close friend,Once a week,Female,21,Senior,Rest of California,Friend,Once a month
1,9/2/2023,12:00,Male,19,Sophomore,Rest of United States,6+,Male,20,Junior,Rest of United States,Close friend,Once a week,Male,19,Sophomore,Bay Area,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,Once a week,Male,20,Junior,Rest of United States,Close friend,Once a week,Male,21,Senior,Bay Area,Close friend,Once a week
2,9/2/2023,13:00,Male,20,Junior,Rest of United States,6+,Male,20,Junior,Rest of United States,Close friend,Once a week,Male,20,Junior,Rest of United States,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,Once a week,Male,21,Senior,Bay Area,Close friend,Once a week,Male,20,Junior,LA Area,Close friend,More than once a week
3,9/3/2023,1:00,Female,20,Junior,Bay Area,6+,Male,20,Junior,Rest of United States,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,Once a week,Female,54,Other,Bay Area,Close friend,Once a month,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week
1,9/3/2023,18:55,Male,22,Senior,Bay Area,4,Male,28,Other,Bay Area,Close friend,Once a month,Male,22,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Female,21,Senior,Bay Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA
2,9/4/2023,15:35,Female,22,Senior,Bay Area,6+,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week
3,9/4/2023,18:05,Male,21,Senior,LA Area,3,Female,22,Senior,Bay Area,Close friend,More than once a week,Male,22,Senior,LA Area,Close friend,Once a week,Male,23,Senior,Bay Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
